pdf_id,file_name,state,district,year,format_id,source_page_start,source_page_end,table_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
jaunpur_tehsil_1971,jaunpur_tehsil_1971.pdf,Uttar Pradesh,Jaunpur,1971,format_003,354,355,jaunpur_tehsil_001,1,2,334,335
jhansi_civic_1971,jhansi_civic_1971.pdf,Uttar Pradesh,Jhansi,1971,format_001,35,36,jhansi_civic_001,1,2,10,11
jhansi_mededu_1971,jhansi_mededu_1971.pdf,Uttar Pradesh,Jhansi,1971,format_002,37,38,jhansi_mededu_001,1,2,12,13
jhansi_tehsil_1971,jhansi_tehsil_1971.pdf,Uttar Pradesh,Jhansi,1971,format_003,209,210,jhansi_tehsil_001,1,2,184,185
kanpur_civic_1971,kanpur_civic_1971.pdf,Uttar Pradesh,Kanpur,1971,format_001,31,32,kanpur_civic_001,1,2,10,11
kanpur_mededu_1971,kanpur_mededu_1971.pdf,Uttar Pradesh,Kanpur,1971,format_002,33,34,kanpur_mededu_001,1,2,12,13
kanpur_tehsil_1971,kanpur_tehsil_1971.pdf,Uttar Pradesh,Kanpur,1971,format_003,243,244,kanpur_tehsil_001,1,2,222,223
kheri_civic_1971,kheri_civic_1971.pdf,Uttar Pradesh,Kheri,1971,format_001,27,28,kheri_civic_001,1,2,6,7
kheri_mededu_1971,kheri_mededu_1971.pdf,Uttar Pradesh,Kheri,1971,format_002,27,28,kheri_mededu_001,1,2,6,7
kheri_tehsil_1971,kheri_tehsil_1971.pdf,Uttar Pradesh,Kheri,1971,format_003,197,198,kheri_tehsil_001,1,2,176,177
lucknow_civic_1971,lucknow_civic_1971.pdf,Uttar Pradesh,Lucknow,1971,format_001,24,25,lucknow_civic_001,1,2,6,7
lucknow_mededu_1971,lucknow_mededu_1971.pdf,Uttar Pradesh,Lucknow,1971,format_002,26,27,lucknow_mededu_001,1,2,8,9
lucknow_tehsil_1971,lucknow_tehsil_1971.pdf,Uttar Pradesh,Lucknow,1971,format_003,124,125,lucknow_tehsil_001,1,2,106,107
mainpuri_civic_1971,mainpuri_civic_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_001,21,22,mainpuri_civic_001,1,2,6,7
mainpuri_mededu_1971,mainpuri_mededu_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_002,23,24,mainpuri_mededu_001,1,2,8,9
mainpuri_tehsil_1971,mainpuri_tehsil_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_003,175,176,mainpuri_tehsil_001,1,2,160,161
mathura_civic_1971,mathura_civic_1971.pdf,Uttar Pradesh,Mathura,1971,format_001,25,26,mathura_civic_001,1,2,6,7
mathura_mededu_1971,mathura_mededu_1971.pdf,Uttar Pradesh,Mathura,1971,format_002,27,28,mathura_mededu_001,1,2,8,9
mathura_tehsil_1971,mathura_tehsil_1971.pdf,Uttar Pradesh,Mathura,1971,format_003,133,134,mathura_tehsil_001,1,2,114,115
meerut_civic_1971,meerut_civic_1971.pdf,Uttar Pradesh,Meerut,1971,format_001,30,31,meerut_civic_001,1,2,10,11
meerut_mededu_1971,meerut_mededu_1971.pdf,Uttar Pradesh,Meerut,1971,format_002,32,33,meerut_mededu_001,1,2,12,13
meerut_tehsil_1971,meerut_tehsil_1971.pdf,Uttar Pradesh,Meerut,1971,format_003,214,215,meerut_tehsil_001,1,2,194,195
mirzapur_civic_1971,mirzapur_civic_1971.pdf,Uttar Pradesh,Mirzapur,1971,format_001,27,28,mirzapur_civic_001,1,2,10,11
mirzapur_mededu_1971,mirzapur_mededu_1971.pdf,Uttar Pradesh,Mirzapur,1971,format_002,29,30,mirzapur_mededu_001,1,2,12,13
moradabad_civic_1971,moradabad_civic_1971.pdf,Uttar Pradesh,Moradabad,1971,format_001,28,29,moradabad_civic_001,1,2,10,11
moradabad_mededu_1971,moradabad_mededu_1971.pdf,Uttar Pradesh,Moradabad,1971,format_002,30,31,moradabad_mededu_001,1,2,12,13
moradabad_tehsil_1971,moradabad_tehsil_1971.pdf,Uttar Pradesh,Moradabad,1971,format_003,320,321,moradabad_tehsil_001,1,2,304,305
muzaffarnagar_civic_1971,muzaffarnagar_civic_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_001,22,23,muzaffarnagar_civic_001,1,2,6,7
muzaffarnagar_mededu_1971,muzaffarnagar_mededu_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_002,24,25,muzaffarnagar_mededu_001,1,2,8,9
muzaffarnagar_tehsil_1971,muzaffarnagar_tehsil_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_003,138,139,muzaffarnagar_tehsil_001,1,2,122,123
nainital_civic_1971,nainital_civic_1971.pdf,Uttar Pradesh,Nainital,1971,format_001,25,26,nainital_civic_001,1,2,6,7
nainital_mededu_1971,nainital_mededu_1971.pdf,Uttar Pradesh,Nainital,1971,format_002,27,28,nainital_mededu_001,1,2,8,9
nainital_tehsil_1971,nainital_tehsil_1971.pdf,Uttar Pradesh,Nainital,1971,format_003,213,214,nainital_tehsil_001,1,2,194,195
parthpgad_civic_1971,parthpgad_civic_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_001,25,26,parthpgad_civic_001,1,2,6,7
parthpgad_mededu_1971,parthpgad_mededu_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_002,25,26,parthpgad_mededu_001,1,2,6,7
parthpgad_tehsil_1971,parthpgad_tehsil_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_003,237,238,parthpgad_tehsil_001,1,2,218,219
peelibhit_civic_1971,peelibhit_civic_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_001,25,26,peelibhit_civic_001,1,2,6,7
peelibhit_mededu_1971,peelibhit_mededu_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_002,25,26,peelibhit_mededu_001,1,2,6,7
peelibhit_tehsil_1971,peelibhit_tehsil_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_003,155,156,peelibhit_tehsil_001,1,2,136,137
pithoragarh_civic_1971,pithoragarh_civic_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_001,24,25,pithoragarh_civic_001,1,2,6,7
pithoragarh_mededu_1971,pithoragarh_mededu_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_002,24,25,pithoragarh_mededu_001,1,2,6,7
pithoragarh_tehsil_1971,pithoragarh_tehsil_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_003,182,183,pithoragarh_tehsil_001,1,2,166,167
rae_bareli_civic_1971,rae_bareli_civic_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_001,25,26,rae_bareli_civic_001,1,2,6,7
rae_bareli_mededu_1971,rae_bareli_mededu_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_002,25,26,rae_bareli_mededu_001,1,2,6,7
