state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Arunachal Pradesh,Arunachal Pradesh,Kameng,1971\Arunachal Pradesh\1971 Kameng.pdf,civic_amenities,Civic Amenities,Trimmed,59,output\pdf\1971_trimmed\Arunachal Pradesh\civic amenities\Kameng_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Arunachal Pradesh,Arunachal Pradesh,Kameng,1971\Arunachal Pradesh\1971 Kameng.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,59,output\pdf\1971_trimmed\Arunachal Pradesh\mededu\Kameng_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Kameng,1971\Arunachal Pradesh\1971 Kameng.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"67,68",output\pdf\1971_trimmed\Arunachal Pradesh\tehsil appendix\Kameng_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Lohit,1971\Arunachal Pradesh\1971 Lohit.pdf,civic_amenities,Civic Amenities,Trimmed,70,output\pdf\1971_trimmed\Arunachal Pradesh\civic amenities\Lohit_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Lohit,1971\Arunachal Pradesh\1971 Lohit.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,71,output\pdf\1971_trimmed\Arunachal Pradesh\mededu\Lohit_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Lohit,1971\Arunachal Pradesh\1971 Lohit.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"76,77",output\pdf\1971_trimmed\Arunachal Pradesh\tehsil appendix\Lohit_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Siang,1971\Arunachal Pradesh\1971 Siang.pdf,civic_amenities,Civic Amenities,Trimmed,80,output\pdf\1971_trimmed\Arunachal Pradesh\civic amenities\Siang_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Arunachal Pradesh,Arunachal Pradesh,Siang,1971\Arunachal Pradesh\1971 Siang.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,80,output\pdf\1971_trimmed\Arunachal Pradesh\mededu\Siang_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Arunachal Pradesh,Arunachal Pradesh,Siang,1971\Arunachal Pradesh\1971 Siang.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"88,89",output\pdf\1971_trimmed\Arunachal Pradesh\tehsil appendix\Siang_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Subansiri,1971\Arunachal Pradesh\1971 Subansiri.pdf,civic_amenities,Civic Amenities,Not trimmed,,,0,False,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
