sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
2,,Kerakat,,PR (4) KR (0),,OSD,,...,,120,,...,,B,,TW/OHT,,"20,000 Galls.",,...,,300,,17,,20,,32,,...,,4.0,0.0,ORDINARY,,False,1,jaunpur_civic_1971,Jaunpur,Uttar Pradesh,1971,format_001,jaunpur_civic_001,jaunpur_civic_1971.pdf,b8ad558635abc452e32a492113035f0ca28800e6a53cf4d30e6318a2cb51228b,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:35:03.342971+00:00
3,,Machhli shahr,,PR (2) KR (0),,OSD,,-,,935,,...,,B,,HP,,...,,...,,242,,19,,...,,20,,...,,2.0,0.0,ORDINARY,,False,2,jaunpur_civic_1971,Jaunpur,Uttar Pradesh,1971,format_001,jaunpur_civic_001,jaunpur_civic_1971.pdf,b8ad558635abc452e32a492113035f0ca28800e6a53cf4d30e6318a2cb51228b,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:35:03.342971+00:00
4,,Mariahu,,PR (2) KR (2),,OSD,,...,,141,,...,,B,,TW/OHT,,"5,000 Galls.",,...,,295,,21,,...,,15,,...,,2.0,2.0,ORDINARY,,False,3,jaunpur_civic_1971,Jaunpur,Uttar Pradesh,1971,format_001,jaunpur_civic_001,jaunpur_civic_1971.pdf,b8ad558635abc452e32a492113035f0ca28800e6a53cf4d30e6318a2cb51228b,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:35:03.342971+00:00
5,,Mongra Badshahpur,,PR (8) KR (10),,PT/OSD,,250,,250,,...,,B,,TW/OHT,,"20,000 Galls.",,...,,335,,31,,26,,112,,...,,8.0,10.0,ORDINARY,,False,4,jaunpur_civic_1971,Jaunpur,Uttar Pradesh,1971,format_001,jaunpur_civic_001,jaunpur_civic_1971.pdf,b8ad558635abc452e32a492113035f0ca28800e6a53cf4d30e6318a2cb51228b,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:35:03.342971+00:00
6,,Shahganj,,PR (6) KR (1),,PT/OSD,,9,,551,,...,,B,,HP,,...,,...,,838,,57,,...,,156,,...,,6.0,1.0,ORDINARY,,False,5,jaunpur_civic_1971,Jaunpur,Uttar Pradesh,1971,format_001,jaunpur_civic_001,jaunpur_civic_1971.pdf,b8ad558635abc452e32a492113035f0ca28800e6a53cf4d30e6318a2cb51228b,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:35:03.342971+00:00
1,,Babina Cantt.,,PR (8) KR (2),,PT/OSD,,400,,"1,395",,...,,B/HC,,W/HP,,...,,...,,256,,18,,64,,32,,...,,8.0,2.0,ORDINARY,,False,0,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
2,,Chirgaon,,PR (4) KR (2.4),,OSD,,...,,350,,60,,B/HC,,W/HP,,...,,...,,511,,...,,27,,110,,...,,4.0,2.4,ORDINARY,,False,1,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
3,,Gursarai,,PR (3.5) KR (4),,PT/OSD,,10,,225,,50,,HC,,W/HP,,...,,...,,275,,...,,9,,84,,...,,3.5,4.0,ORDINARY,,False,2,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
4,,Hansari Gird,,PR (4) KR (2),,OSD,,...,,60,,...,,B/HC,,W/HP,,...,,...,,30,,9,,8,,10,,...,,4.0,2.0,ORDINARY,,False,3,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
5,,Jhansi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Jhansi City Urban Agglomeration,False,4,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
6,,Jhansi Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Jhansi City Urban Agglomeration,False,5,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
7,,Jhansi Rly. Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,CROSS_REFERENCE,Jhansi City Urban Agglomeration,False,6,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
,,Jhansi City Urban Agglomeration,,PR (136.5) KR (52.5),,PT/OSD,,"2,189",,"9,053",,...,,B/HC/HL/MT,,W/TW/OHT,,"5,065,066 Galls.",,Yes,,"10,594",,394,,344,,"2,963",,...,,136.5,52.5,AGGREGATE,,False,7,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
(i),,Jhansi,,PR (82.0) KR (40.5),,PT/OSD,,"1,600",,"5,600",,...,,B/HC,,W/TW/OHT,,"4,280,000 Galls.",,Yes,,"8,574",,371,,137,,"1,800",,...,,82.0,40.5,COMPONENT,,False,8,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
(ii),,Jhansi Cantt.,,PR (40) KR (12),,PT/OSD,,130,,"1,820",,...,,B/HL,,W/TW/OHT,,"48,000 Galls.",,...,,350,,20,,200,,323,,...,,40.0,12.0,COMPONENT,,False,9,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
(iii),,Jhansi Rly. Settlement,,PR (14.5) KR (0),,PT/OSD,,459,,"1,633",,...,,B/MT,,TW/OHT,,"737,066 Galls.",,Yes,,"1,670",,3,,7,,840,,...,,14.5,0.0,COMPONENT,,False,10,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
8,,Lalitpur,,PR (13) KR (5.5),,PT/OSD,,60,,"2,000",,...,,,,TW/OHT,,"350,000 Galls.",,...,,980,,...,,34,,"1,000",,...,,13.0,5.5,ORDINARY,,False,11,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
9,,Mauranipur,,PR (17) KR (6.5),,PT/OSD,,15,,"3,000",,...,,B,,TW/OHT,,"200,000 Galls.",,...,,"1,135",,11,,75,,140,,...,,17.0,6.5,ORDINARY,,False,12,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
10,,Ranipur,,PR (14) KR (6.5),,OSD,,...,,"1,000",,...,,HC,,W/HP,,...,,...,,144,,...,,13,,40,,...,,14.0,6.5,ORDINARY,,False,13,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
11,,Samthar,,PR (2) KR (1),,OSD,,...,,235,,45,,C,,TW/OHT,,"36,000 Galls.",,...,,650,,10,,50,,100,,...,,2.0,1.0,ORDINARY,,False,14,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
12,,Talbehat,,PR (1.5) KR (1),,OSD,,...,,900,,...,,HC,,W/HP,,...,,...,,178,,15,,20,,56,,...,,1.5,1.0,ORDINARY,,False,15,jhansi_civic_1971,Jhansi,Uttar Pradesh,1971,format_001,jhansi_civic_001,jhansi_civic_1971.pdf,a5be100b9d40b16ce260272f50f4a852da48fb53bd46f3510ab4606b5c85f796,35,36,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:39:02.064448+00:00
1,,Armapur Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,0,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
2,,Central Rly. Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,1,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
3,,Chakeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,2,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
4,,I. I. T.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,3,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
5,,Kanpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,4,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
6,,Kanpur Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,5,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
,,Kanpur City Urban Agglomeration,,PR (934.4) KR (35),,S/PT/OSD,,"104,812",,"48,886",,28,,B/MT/HC,,TW/OHT,,"1,471,700 Galls.",,Yes,,"72,178",,"3,986",,"21,065",,"23,182",,...,,934.4,35.0,AGGREGATE,,False,6,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(i),,Armapur Estate,,PR (22) KR (0),,PT/OSD,,"2,626",,370,,...,,MT,,TW/OHT,,"311,400 Galls.",,Yes,,"1,400",,3,,26,,631,,...,,22.0,0.0,COMPONENT,,False,7,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(ii),,Central Rly. Colony,,PR (3) KR (0),,PT/OSD,,44,,67,,28,,HC,,TW/OHT,,"52,300 Galls.",,...,,47,,5,,...,,27,,...,,3.0,0.0,COMPONENT,,False,8,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(iii),,Chakeri,,N. A.,,,,N. A.,,N. A.,,,,N. A.,,,,Not Available,,,,Not Available,,...,,7,,595,,...,,,,COMPONENT,,False,9,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(iv),,I. I. T.,,PR (14.4) KR (0),,S,,"1,262",,...,,...,,...,,,,Not Available,,,,835,,...,,7,,595,,...,,14.4,0.0,COMPONENT,,False,10,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(v),,Kanpur,,PR (850) KR (26),,S/OSD,,"100,058",,"42,803",,...,,B/HC/MT,,TW/OHT,,"800,000 Galls.",,Yes,,"59,916",,"1,037",,"20,836",,"19,837",,...,,850.0,26.0,COMPONENT,,False,11,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(vi),,Kanpur Cantt.,,PR (29) KR (6),,S/OSD,,168,,"1,583",,...,,MT,,TW/OHT,,"50,000 Galls.",,...,,"2,000",,N.A.,,110,,764,,...,,29.0,6.0,COMPONENT,,False,12,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(vii),,Northern Rly. Colony,,PR (8) KR (3),,S/OSD,,500,,"3,900",,...,,HC,,TW/OHT,,"100,000 Galls.",,...,,"7,480",,"2,941",,50,,"1,200",,...,,8.0,3.0,COMPONENT,,False,13,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
(viii),,Rawatpur Station Yard,,PR (8) KR (0),,S/OSD,,154,,86,,...,,HC,,TW/OHT,,"108,000 Galls.",,...,,500,,...,,36,,128,,...,,8.0,0.0,COMPONENT,,False,14,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
7,,Northern Rly. Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,15,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
8,,Pukhrayan,,PR (8) KR (9),,ST/OSD,,26,,"1,185",,...,,B/HC,,TW/OHT,,"15,000 Galls.",,...,,410,,9,,30,,83,,...,,8.0,9.0,ORDINARY,,False,16,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
9,,Rawatpur Station Yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Kanpur City Urban Agglomeration,False,17,kanpur_civic_1971,Kanpur,Uttar Pradesh,1971,format_001,kanpur_civic_001,kanpur_civic_1971.pdf,61ef82de6fc98573095288a86667005fd4df57958a359f45c2454fdfa7414b7e,31,32,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:46:27.332065+00:00
1,,Gola Gokaran Nath,,PR (46.4) KR (3),,PT/OSD,,212,,"2,356",,14,,HC,,TW/OHT,,"50,000 Galls.",,...,,443,,62,,647,,200,,...,,46.4,3.0,ORDINARY,,False,0,kheri_civic_1971,Kheri,Uttar Pradesh,1971,format_001,kheri_civic_001,kheri_civic_1971.pdf,3ff8b29bb398bf4cee5a944079cbe64105bea3c2115a569ad6d94b0fac04c856,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:54:25.495388+00:00
2,,Kheri,,PR (30.4) KR (8.2),,PT/OSD,,204,,480,,20,,B,,HP,,...,,...,,310,,13,,110,,90,,...,,30.4,8.2,ORDINARY,,False,1,kheri_civic_1971,Kheri,Uttar Pradesh,1971,format_001,kheri_civic_001,kheri_civic_1971.pdf,3ff8b29bb398bf4cee5a944079cbe64105bea3c2115a569ad6d94b0fac04c856,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:54:25.495388+00:00
3,,Lakhimpur,,PR (82.8) KR (6.3),,PT/OSD,,910,,"4,000",,50,,HC,,TW/OHT,,"100,000 Galls.",,...,,"2,240",,172,,"1,654",,530,,...,,82.8,6.3,ORDINARY,,False,2,kheri_civic_1971,Kheri,Uttar Pradesh,1971,format_001,kheri_civic_001,kheri_civic_1971.pdf,3ff8b29bb398bf4cee5a944079cbe64105bea3c2115a569ad6d94b0fac04c856,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:54:25.495388+00:00
