pdf_id,file_name,state,district,year,format_id,source_pdf,source_page_start,source_page_end
mainpuri_tehsil_1971,mainpuri_tehsil_1971.pdf,Uttar Pradesh,Mainpuri,1971,format_003,1971 Mainpuri.pdf,175,176
mathura_civic_1971,mathura_civic_1971.pdf,Uttar Pradesh,Mathura,1971,format_001,1971 Mathura.pdf,25,26
mathura_mededu_1971,mathura_mededu_1971.pdf,Uttar Pradesh,Mathura,1971,format_002,1971 Mathura.pdf,27,28
mathura_tehsil_1971,mathura_tehsil_1971.pdf,Uttar Pradesh,Mathura,1971,format_003,1971 Mathura.pdf,133,134
meerut_civic_1971,meerut_civic_1971.pdf,Uttar Pradesh,Meerut,1971,format_001,1971 Meerut.pdf,30,31
meerut_mededu_1971,meerut_mededu_1971.pdf,Uttar Pradesh,Meerut,1971,format_002,1971 Meerut.pdf,32,33
meerut_tehsil_1971,meerut_tehsil_1971.pdf,Uttar Pradesh,Meerut,1971,format_003,1971 Meerut.pdf,214,215
mirzapur_civic_1971,mirzapur_civic_1971.pdf,Uttar Pradesh,Mirzapur,1971,format_001,1971 Mirzapur.pdf,27,28
mirzapur_mededu_1971,mirzapur_mededu_1971.pdf,Uttar Pradesh,Mirzapur,1971,format_002,1971 Mirzapur.pdf,29,30
moradabad_civic_1971,moradabad_civic_1971.pdf,Uttar Pradesh,Moradabad,1971,format_001,1971 Moradabad.pdf,28,29
moradabad_mededu_1971,moradabad_mededu_1971.pdf,Uttar Pradesh,Moradabad,1971,format_002,1971 Moradabad.pdf,30,31
moradabad_tehsil_1971,moradabad_tehsil_1971.pdf,Uttar Pradesh,Moradabad,1971,format_003,1971 Moradabad.pdf,320,321
muzaffarnagar_civic_1971,muzaffarnagar_civic_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_001,1971 Muzaffarnagar.pdf,22,23
muzaffarnagar_mededu_1971,muzaffarnagar_mededu_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_002,1971 Muzaffarnagar.pdf,24,25
muzaffarnagar_tehsil_1971,muzaffarnagar_tehsil_1971.pdf,Uttar Pradesh,Muzaffarnagar,1971,format_003,1971 Muzaffarnagar.pdf,138,139
nainital_civic_1971,nainital_civic_1971.pdf,Uttar Pradesh,Nainital,1971,format_001,1971 Nainital.pdf,25,26
nainital_mededu_1971,nainital_mededu_1971.pdf,Uttar Pradesh,Nainital,1971,format_002,1971 Nainital.pdf,27,28
nainital_tehsil_1971,nainital_tehsil_1971.pdf,Uttar Pradesh,Nainital,1971,format_003,1971 Nainital.pdf,213,214
parthpgad_civic_1971,parthpgad_civic_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_001,1971 Parthpgad.pdf,25,26
parthpgad_mededu_1971,parthpgad_mededu_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_002,1971 Parthpgad.pdf,25,26
parthpgad_tehsil_1971,parthpgad_tehsil_1971.pdf,Uttar Pradesh,Parthpgad,1971,format_003,1971 Parthpgad.pdf,237,238
peelibhit_civic_1971,peelibhit_civic_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_001,1971 Peelibhit.pdf,25,26
